,name
0,都心商業地域における歩行者による回遊行動の実態と要因分析一神戸市都心部を対象として一
1,WiFiパケットデータを用いた観光客の滞在時間特性把握の可能性に関する研究をー奈良県長谷寺参道における試みー
2,＊中心市街地における大規模商業施設の出店による歩行者通行量への影響
3,鉄道駅におけるエスカレータ上の歩行行動に関する研究
4,地域鉄道の廃止と駅周辺における社会経済の変化の関係分析
5,＊トランジットモールを含む市街地における歩行者ゾーンと自動車系街路網の形態に関する研究を一中心市街地の街路網におけるトランジットモールの位置づけー
6,＊都市景観構成要素としてのLRT停留所デザインの特徴に関する時系列的考察を一欧州33都市での現地実態調査に基づいて一
7,密集市街地の民有地を暫定利用する防災空地の評価手法の検討を一神戸市「まちなか防災空地整備事業」を対象として一
8,世代交代の進展する地区の立地・空間的特性に関する研究ーGBIを用いた東京都市圏における分析一
9,「非日常的行事」の商店街に対する満足度への負の影響に関する研究を一福岡県飯塚市中心商店街に対する学生のアンケート調査の分析一
10,高齢者の外出行動と親世帯・子世帯の近接性に関する研究を一埼玉県坂戸市に居住する高齢者への対面式調査を通して一
11,ペトナムの社会主義団地のオープンスペースの商業利用実態と住民意識に関する研究をーハノイNguyenCongTruKTTを事例に一
12,＊キーワードからみた都市計画研究の変遷
13,三大都市圏における市街化区域と人口推移から見た都市の類型化とその市街地特性に関する研究
14,「クラフト創造都市」金沢における工芸とその関連施策に関する考察を一工芸の変遷と金沢の文化都市政策史との相関に着目して一
15,戦災と長期接収を経た都市の復興過程に関する研究を一横浜中心部における融資耐火建築群の初期形成一
16,明治後期から昭和初期の京浜電気鉄道による羽田穴守海水浴場施設の運営実態及び集客戦略の研究
17,西山夕P三による観光計画論に関する研究ー1930年代から1960年代までを対象として一
18,ミャンマ一国ヤンゴンにおける公園成立の歴史的経緯を一植民期、軍事政権期、民政移管期における時代背景と整備意図一
19,風力発電施設に関する住民の受容に及ぼす影響要因
20,土浦市街地における高層建築物が周辺低層市街地の冬季の建物熱負荷に及ぼす影響
21,＊環境配慮街区形成の推進方策に関する研究をーフランスエコカルティエ認証制度と日本における認証事例からの考察一
22,東京都区部における私事行動に着目した今日の盛り場に関する研究を一東京都市圏パーソントリップ調査及び事業所内従業員数を用いた「場力」の測定を通じて一
23,財政状況からみた持続可能な都市特性の評価に関する研究
24,コンパクトシティ政策における複数の計画規範のトレードオフ構造の分析をー最適都市機能配置モデルによる分析一
25,自治体のラブホテル建築規制条例に基づくラブホテルの立地規制に関する研究
26,移動販売のサービス水準に着目した店舗選択に関する実証分析
27,人口減少時代における中山間地域の居住地としての持続可能性からみた地域類型化を一岐阜県郡上市におけるケーススタディー一
28,瀬戸内海島嶼部における再生可能エネルギーの活用可能性に関する研究をー大崎下島におけるケーススタディー
29,＊地方都市における市営墓地の需要把握に関する課題一群馬県前橋市を事例として一
30,国土数値情報土地利用細分メッシュデータを用いた人口動態と土地利用変化の関係性をーメッシュ人口密度・メッシュ人口変化率に着目して一
31,居住誘導施策の費用便益分析ー大都市圏郊外部におけるケーススタディー
32,下水道整備計画を踏まえた市街地集約に関する一考察一和歌山市でのケーススタディー
33,地域冷暖房事業における上下分離方式の導入可能性に関する研究を一分敷型エネルギーインフラプロジェクトを対象として一
34,都市機能維持に向けた蓄竃池の面的整備に関する研究一非常時における竃力需要を考慮して一
35,地域特性と目標・評価指標からみた「都市再生整備計画」の類型と傾向分析
36,地域経済振興に係る圏域マネジメント組織と広域行政機構との関係性分析をーイングランドにおける地域産業パートナーシップ政策と合同行政機構に着目して一
37,＊エリアマネジメント組織の団体属性と課題に関する考察をー全国エリアマネジメントネットワークの会員アンケート調査に基づいて一
38,東京大都市圏郊外の中古住宅市場における需給バランス
39,借地権型マンションの敷地の借地期間延長と買取に関する制度と市場整備を一日本の借地権型マンションの課題に対するイギリスのリースホールド制度の適用の可能性一
