,name
0,公共の規制下における地方都市の居住地開発に関するモデル分析
1,集積の経済・不経済と地方公共財の地域間最適配分に関する実証研究
2,市町村歳出構造と最適規模に関する研究
3,地方公共財供給における自治体間の自発的協力形成に関するモデル分析
4,帰国子女へのアンケート調査cインタヴュー調査にもとづくこどものあそび環境のを国際比較研究
5,京都観光エリアイメージにおける構成地物と評価因子に関する基礎分析
6,近隣環境における「生活の質」の計測に関する研究
7,東京都心部の空き地空間における有効利用の方向性に関する考察を一新宿区における現状と今後の課題に着目して一
8,建物に対する方位を考慮した空隙の形態的特性に関する研究をー東京の既成市街地における比較分析を通して一
9,職住複合形式に着目した最適職住配置パターンに関する研究
10,都市の空間構造とエネルギーに関する一考察をーエネルギー削減を目指した諸システムの導入効果について一
11,都市化に伴うヒートアイランド現象の空間統計分析モデル
12,中小都市における都市構造のコンパクト性に関する研究
13,路線単位整備を中心とした狭陰道路整備方策に関する実態的考察
14,地下交通ネットワーク整備の制度に関する研究
15,土地区画整理事業の照応原則とそれに代わる換地割付基準
16,阪神・淡路大震災の復興都市計画事業における「2段階都市計画決定方式」の評価にを関する研究
17,広域政府による土地利用計画権限の調整をー米オレゴン州のメトロに関するケーススタディー
18,＊ガイダンスによる都市・地域計画コントロールの試みと課題をーイングランドのPPG(FlamingPolicy.Guidance)システムに着目して一
19,自治体財政からみた首都圏の地域構造
20,海岸部集落における道路システムの機能と整備課題に関する研究
21,本四架橋を契機とした島嶼整備のあり方に関する研究をー芸予諸島における観光的側面から一
22,漁村のオープンスペースにおける空間改変と地区住民の認識に関する研究をー島根県八束郡美保関町美保関漁港の後背集落を事例として一
23,土地利用の複合化の実態を踏まえた複合市街地像とその実現手法との対応に関する基礎的研究をー東京都心部の沿道型市街地を対象として一
24,土地区画整理事業施行区域における市街化の実態を一金沢市における組合施行の事例報告一
25,密集既成市街地再整備を目的とした小規模区画整理に関する研究をー和歌山県田辺市の商業系土地利用を主とした地区における事例研究一
26,選好意識調査に基づくパークアンドライド駐車場の料金設定に関する実証的分析をー仙台都市圏におけるケーススタディー
27,多時点パネルデータの非観測異質性を考慮した休日買物場所選択モデル
28,買物行動モデルの構築とそれに基づく施策評価
29,東京都心部における業務用自家用自動車の自粛による利用抑制の可能性についての検討
30,都市構造からみた輸送エネルギー削減施策の効果推計に関する研究
31,信号交差点を考慮した集計Q-V式と戦略交通モデルヘの応用
32,迂回率を用いた配分対象経路の選択手法
33,鎌倉古都地域における休日交通問題の現状と意識に関する調査報告
34,＊公共交通施設におけるバリアフリー化を目的とした移動連続性に関する調査をー地下鉄駅の事例一
35,サービスレベルに応じた高齢者対応型バスヘの転換需要予測に関する研究
36,規制緩和を前提とした地方都市におけるバス交通計画情報の作成に関する研究
37,店舗内の物流を含めた百貨店の配送における効率改善施策の比較分析
38,隅田川河口部沿岸域の江戸期における物流施設の機能と分布に関する基礎的研究
39,京都市北野天満宮定期市の空間構成に関する研究
40,利用者意識からみた大学キャンパスと周辺市街地の連続性をー大学キャンパスのオープンスペースに着目して一
41,街路空間デザインゲームの開発に関する研究
42,＊都市デザイン活動における歴史的建造物の保全活用の意義をー横浜市における都市デザインの活動から一
43,風景保全のための市街地空間の高さ規制・誘導に関する研究を一景観条例に見る建築物の高さへの取り組みを例に一
44,「神都」計画と扶余神宮に関する研究
45,水郷都市・蘇州における都市開発と歴史的空間形態の保存を-1980's以降の改革開放期について一
46,ワシントン州の州成長管理制度の運用経過からみる一行政委員会の役割に関する研究
47,新都市計画法以降名古屋の特別工業地区指定の目標と土地利用変化に与えた指定のを影響に関する研究
48,臨港地区の土地利用転換に伴う新たな都市計画制度の必要性について
49,関東大震災後の東京の復興都市計画をめぐる言説の編制に関する研究
50,近代都市計画における公園道路の成立に関する研究をー大正から戦前までの東京都市計画案を事例に一
51,併設小学校との関係から見た震災復興小公園の成立過程に関する研究
52,移動時間の短縮効果からみた交通網分析をー首都高速道路を事例として一
53,都市内流動量分布に関する基礎的研究
54,移動時間分布からみた超高層建築物の分析
55,同時多発出火時における直線的避難距離の分布に関する理論的考察
56,メッシュデータを用いた小売業売場面積推計ニューラルネットワークモデルの開発
57,テナント交替の確率モデルをー有限時間窓のデータによる最尤推定一
58,来街頻度に基づく販売額予測非集計回遊マルコフモデルの構築をー小倉都心商業地区への適用一
59,電話帳情報を活用した消費者行動圏の設定法に関する研究
60,＊わが国現行都市計画法における「都市計画」の概念
61,マドリッドの都市形態に関する復原的研究
62,地域の使い方と地域認識にもとづく「まち」のまとまりに関する研究
63,近世に開発された用水路を軸とした歴史的景観に関する研究を一矢部川上流域を事例として一
64,近世城下町を基盤とする地方都市の都市構造と人口変動との関連性
65,江戸期における遊里の全国的分布と城下町内立地の特性に関する研究
66,明治期の金沢の街路計画をー駅前放射状道路と師団連絡道路一
67,香港における市場空間の管理政策の歴史的変遷に関する研究
68,上海・黄浦地区の保全政策について
69,1910年代の大阪にみる「浮浪者」と「貧民窟」に関する言説を一社会事業及び住宅政策の展開の前史として一
70,現代日本における美術家の居住地分布の特性に関する研究
71,＊山梨県早川町における「日本・上流文化圏構想」と「日本上流文化圏研究所」の取り組み
72,中国都市部における改革前の住宅供給政策に関する研究
73,大正・昭和戦前期の東京府における皇族・華族の居住地の変遷
74,東京都区部における地区計画策定プロセスの住民参加に関する研究を関係に関する研究
75,地方都市の都市計画マスタープランにおける策定プロセスと住民参加に関する研究を一九州地域74自治体におけるケーススタディによる検証一
76,「市民版マスタープラン」による都市計画マスタープランヘの意見反映をー東京都杉並区を事例として一
77,＊東京都調布市におけるワークショップ方式による都市計画マスタープランの策定過程とをその成果の評価
78,市民参加の新手法としての「市民版マスタープラン」の現状
79,＊マスタープラン体系における都市マスタープランの役割に関する考察を一松戸市の場合一
80,容積率を中心とする形態規定改正時における国会審議の論点
81,東京都における用途地域変更を伴う地区計画の評価
82,指定状況からみた新用途地域制とその指定方針の評価
83,地方都市計画区域における区域区分制度運用に関する研究を一新潟都市計画区域をケーススタディとして一
84,市街化調整区域における土地利用コントロール方針に関する調査研究をー地方中心都市を事例として一
85,白地地域・都市計画区域外における小規模開発のコントロールに関する研究を-1992年都市計画法・建築基準法改正に伴う形態制限の適用事例を中心に一
86,ショップハウス住居に関する住居者意向に関する考察をーインドネシア，北スマトラ，メダンの都市中心部における事例研究一
87,市街化調整区域における既存宅地の開発の現状と問題点をー一宮市、豊田市におけるケーススタディー
88,＊掛川市生涯学習まちづくり土地条例の特別計画協定区域指定における住民参加によるをまちづくり計画の策定過程とその課題に関する研究
89,まちづくり条例の総合化動向に関する研究を一複合タイプとシステムタイプについて一
90,大規模事業を契機とした周辺住環境整備に関わるまちづくり協議会の運用課題に関するを一考察
91,＊地域発案の視点からみた都市計画・交通計画における非行政組織の役割に関する基礎的を研究
92,都区内まちづくり公社の実態に関する研究
93,鑑定値と取引事例比較に基づく復典地域の土地評価における地域的特性の検討を一阪神・淡路大震災前後の神戸市を例として一
94,分譲マンションの建替における事業計画内容の推定をー東京都区部における民間供給物件の典型例を対象として一
95,用途地域指定と都市活動・土地利用との関連に関する分析
96,都市市民の意識分析によるパブリック・インボルブメントの考察をー米国の2都市を例に一
97,歩車混合細街路の交通容量と歩行者の交通安全に与える電柱の影響
98,バス乗降時間短縮によるバス運行および一般交通改善に関する研究
99,鎌倉地域へのパーク＆ライド及びロードプライシング導入の事前評価に関する研究
100,＊観光地の活性化事業における駐車場整備に関する事後評価を一日光市中宮祠地区のケーススタディー
101,＊地区交通計画における「公平性」をめぐる検討課題と展望をーコミュニティ・ゾーンの本格的普及に向けて一
102,東京圏における外資系企業本社の立地及び移転に関する実証的研究
103,＊都心居住促進の有効性の観点に立った都心居住者の生活行動特性
104,橿原市今井町伝建地区における長屋の利用形態と景観の実態
105,可視領域に着目した都市街路の開放性に関する研究をー大分市の街路におけるケーススタディー
106,都市景観における視覚的「まとまり」に関する研究をー形態的要因と色彩的要因による「まとまり」の考察一
107,＊景観アドバイザー制度による景観行政の実態をー東京都北区の事例研究一
108,江戸の水辺の樹木・緑地の立地とそのデザイン規範を一江戸名所図会等を分析資料として一
109,台北市における都市公園計画に関する歴史的研究を-1895年から1945年まで一
110,緑地協定による戸建住宅地の緑化推進に関する研究
111,手賀沼周辺地域の気温分布と環境特性に関する研究
112,＊国際文化公園都市構想における官民連携型の二次整備計画立案手法に関する研究
113,山間部に立地する城下町の領域空間の特性に関する研究
114,グリーンツーリズム型観光開発が過疎地域に及ぼす影響に関する実証的研究を一新潟県高柳町を例として一
115,観光レクリェーション地区における歩行行動特性に関する研究を一滞在時間と歩行距離に関する分析一
116,市街地の小学校敷地内におけるビオトープの整備に関する基礎的研究
117,開設状況と利用状況からみた地方都市圏における貸し農園整備の方向性
118,都市近郊農村住民のまちづくりへの意識にみる住民参加型ワークショップの有効性と課題
119,自治体による「景観インベントリー」の策定状況に関する研究
120,歳時記的要素に配慮した都市の空間構成に関する研究を
121,戦後景観論争と景観行政をー京都ホテル・京都駅改築問題の事例から一
122,都市における噴水、滝等の人工的に整備された水辺空間の景観形成に関する研究
123,キーパーソンが関わる地域整備の進行プロセスからみた地域の発展構造を一柳川市における事例研究一
124,景観計画における市民参加のための合意形成型デザイン手法に関する研究をー熊本市京塚の街並み整備計画をケーススタディとして一
125,目標空間イメージに着目した街並み形成に関する研究を一世田谷区下馬3•6丁目地区を事例として一
126,成熟市街地における中心核整備に関する研究を一定住意向と整備プログラムについて一
127,大阪市臨海部の土地利用転換および居住構造変化の動向に関する研究
128,都心住商混合地域における敷地統合の事業主体と住宅供給の関係についてをー東京都千代田区神田栄町地区を事例として一
129,密集市街地における道路拡幅整備に伴う容積率及び延床面積の増加に関する検討をー板橋区仲宿地区及び世田谷区太子堂地区を対象として一
130,街区を単位とした日照確保型形態規制手法に関する研究
131,関西文化学術研究都市における就業者からみた望ましい職住近接型都市形態
132,段階的な住環境整備における街区環境評価の運用に関する研究
133,工場跡地等再開発を行う際の土壌汚染対策をー自治体の要綱・条例による取り組みの分析一
134,中国沿海部都市：杭州市における都市環境問題と課題に関する研究
135,自然環境総合指標による土地利用フレームの評価に関する研究一宮城県を事例として一
136,耐震性貯水槽の最適配置に基づいたアクセス経路の評価手法に関する研究をー木造密集市街地におけるケーススタディを通じて一
137,防災型土地利用規制の社会的受容・実施に関わるアジェンダ形成の検討をー活断層研究者らの提言と長町一利府線を有する仙台市住民の意識調査を踏まえて一
138,＊奥尻町青苗地区の復興まちづくり計画の策定過程
139,阪神・淡路大震災の被災市街地における被災・復旧特性と地域特性の相関に関する研究を一神戸市街地における事例調査を通じて一
140,＊被災地の住宅の個別再建による街区内細街路の変化に関する研究を一芦屋市における阪神・淡路大震災被災市街地を事例に一
141,阪神大震災の被災密集市街地における再建住宅の類型化とまちなみ評価に関する研究
