,name
0,*中山間地域における茶園景観に関する研究を‐滋賀県東近江市奥永源寺地域について‐
1,震災復興期に長岡市山古志地域の農産物直売所が集落再生に果たした役割を‐地域住民と来訪者の意識に着目して‐
2,英国ウェールズにおけるデザインレビューの効果的活用を規定する要因
3,デザイン審査の支援システムとネットワーク化についての一考察を‐イギリスの地方自治体のデザイン審査に関わる支援システム‐
4,*大阪港における港湾施設の色彩設計に関する研究を‐港湾の歴史的変遷と産業的要素に着目した色彩改修の事例報告‐
5,景観まちづくりにおける建築物届出制度の指定効果分析に関する研究を‐さいたま市大宮駅周辺を事例に‐
6,*英国における歴史まちづくり事業タウンスケープ・ヘリテイジ・イニシアチブの制度的特徴と運用実態
7,歴史まちづくりの展開過程における文化遺産の保全･活用施策とその主体に関する研究を‐加賀市大聖寺地区を事例として‐
8,国土の持続的な土地利用のための土地適性評価のあり方についてを‐日本の土地分級、韓国の土地適性評価、英国のランドスケープ特性評価手法を事例に‐
9,欧州ランドスケープ条約ELCの成立前後にみる「ランドスケープ」の司法上の定義に関する研究を‐欧州ランドスケープ条約、憲法、法律の定義の比較分析‐
10,フランスにおけるグルネル2法下のZPPAUPからAVAPへの展開に関する研究を‐サン・ジャン・ド・リュズ市を対象として‐
11,所有者同意を必要としない登録制度による近代建築の保存に関する考察を‐横浜市の登録・認定歴史的建造物制度を事例として‐
12,町家に対する価値意識と保存再生手法の評価に関する研究を‐奈良町を対象として‐
13,オレゴン州におけるTOD実現に向けた課題に関する一考察を‐土地利用計画・交通計画・交通サービスの連携に着目して‐
14,持続可能性を踏まえた都市計画道路の見直しと計画枠組みに関する研究を‐さいたま市を事例に‐
15,都市空間における逐次的街路-速度選択モデルを用いた歩行者行動分析
16,*交通ICカードの利用実態および意識把握のための来街者アンケート調査
17,行政意向調査に基づいた県境部の道路に期待する効果
18,子育て中の女性の外出行動とバリアに対する意識に関する研究を‐首都圏在住の乳幼児を持つ母親を対象として‐
19,都市部におけるエコドライブ・プログラムによる燃費改善：東京とマニラにおけるケーススタディ
20,時間的選択構造に着目したEVシェアリングの加入・利用選択モデル
21,横須賀市における旧軍港市転換計画と旧軍用地転用について
22,都市計画事業家・根岸情治の履歴と業績に関する研究
23,大阪御堂筋の街路樹景観―イチョウ並木の建設過程と主体
24,*広島の戦災復興計画時における復興顧問Ｓ.Ａ.ジャビーの計画思想とその果たした役割に関する研究
25,*市町村合併による都市計画区域の再編と隣接都市間の土地利用規制の広域調整に関する考察を‐石川県白山市・能美市・小松市を事例として‐
26,自主条例による青空型土地利用の規制方法とその運用実態に関する研究を‐みよし市まちづくり土地利用条例を中心として‐
27,地方都市中心部における低未利用地の経年変化の実態把握を‐37都市3時点の住宅地図を用いた低未利用地データベースに基づいて‐
28,*南洋群島・旧日本委任統治領における開拓の実態と現状に関する研究を‐パラオ共和国バベルダオブ島の農地開拓とボーキサイト採掘の事例‐
29,広島県におけるUJIターンの要因に関する研究を‐地域の特徴，UJIターン支援施策からみた分析‐
30,*大字単位にみる中山間地域の地域構造とまちづくり計画策定への取り組みについてを‐いわき市三和町を対象として‐
31,ロシア東部の地域開発政策推進に係る政策文書の体系に関する研究を‐ロシアの地域開発政策の体系的把握のための基礎的研究‐
32,*グラン・パリに見る国と地方との連携による国家戦略の推進方策に関する研究を‐大都市圏の国際競争力強化のためのフランスの取り組み事例の紹介‐
33,多国籍企業による国際アウトソーシング行動と貿易構造の変化
34,広域都市圏形成に向けた知識交流の空間分布に関する実証的研究を‐韓国におけるクラスター政策に着目して‐
35,地域振興における産業支援機関の機能強化に関する研究を‐地域資源を活用した農商工連携施策を対象として‐
